timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
2057376000,6,1566.0703,1566.3964,1565.3173,1564.8156,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057476000,6,1566.2938,1561.2648,1563.3401,1563.9005,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057579999,6,1561.6875,1565.4482,1563.5364,1563.9619,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057680000,6,1562.067,1562.5249,1562.2666,1562.7927,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057784000,6,1561.9113,1561.8822,1562.8766,1564.6348,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057884000,6,1565.755,1565.5643,1564.0992,1567.6404,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057983999,6,1566.0221,1564.4991,1564.1781,1567.2863,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058084000,6,1568.3805,1567.0269,1568.4578,1567.1523,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058184000,6,1568.2397,1565.6971,1566.8182,1566.2465,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058284000,6,1566.0553,1566.6318,1565.8094,1567.2567,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058387999,6,1566.5627,1566.8625,1567.1086,1567.0817,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058492000,6,1567.1067,1564.8788,1564.4722,1567.6722,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058588000,6,1562.0538,1566.2317,1567.9237,1562.8855,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2058692000,6,1571.3903,1559.7834,1563.0146,1564.6552,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
