timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9301124000,0.12440976,0.008555646,-0.0864224,0.9884231,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301172000,0.12384113,0.008560175,-0.08627362,0.98850745,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301224000,0.12318518,0.008457597,-0.08630653,0.98858744,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301276000,0.12254695,0.008392568,-0.08632336,0.9886659,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301328000,0.121854834,0.008496229,-0.08632842,0.9887501,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301380000,0.12119437,0.008562164,-0.086346455,0.9888291,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301436000,0.12050617,0.008731747,-0.086321875,0.98891383,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301484000,0.119882174,0.008858302,-0.08626001,0.98899394,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301536000,0.11914916,0.00911181,-0.086162716,0.9890888,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301588000,0.11841356,0.009225235,-0.08616023,0.98917615,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301640000,0.117704995,0.009268617,-0.0860964,0.989266,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301692000,0.1170056,0.009382875,-0.0862809,0.9893318,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301748000,0.116316624,0.009621144,-0.08639477,0.98940074,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301796000,0.115745485,0.009882564,-0.0864003,0.9894647,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301848000,0.11505618,0.009868748,-0.086223654,0.9895606,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301900000,0.11438272,0.009797312,-0.085992016,0.98965955,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9301956000,0.11370237,0.009832646,-0.0857883,0.98975533,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302004000,0.11305012,0.009887766,-0.0856561,0.9898409,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302060000,0.112369955,0.0098777,-0.08538128,0.98994225,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302112000,0.1117493,0.009929141,-0.085189514,0.99002844,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302160000,0.11103725,0.010060069,-0.08513539,0.99011195,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302212000,0.11036852,0.010099967,-0.08512945,0.99018675,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302264000,0.10975607,0.01013871,-0.08516163,0.9902517,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302320000,0.10897983,0.010272081,-0.08509234,0.990342,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302368000,0.10834336,0.0104093235,-0.085069194,0.9904124,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302420000,0.10757181,0.010466863,-0.085160926,0.99048793,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302476000,0.10679547,0.010263084,-0.08544544,0.9905497,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302524000,0.10611679,0.01019309,-0.08549904,0.9906186,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302576000,0.10536854,0.010232251,-0.08546092,0.99070144,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302628000,0.10465122,0.0103387,-0.08532033,0.99078846,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302680000,0.10396253,0.010292097,-0.08514647,0.9908763,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302736000,0.103176646,0.010285152,-0.08501789,0.9909696,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302784000,0.10256345,0.010252057,-0.0850391,0.9910319,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302836000,0.10185806,0.010175651,-0.085217245,0.99109,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302888000,0.10117448,0.010059304,-0.08545102,0.99114114,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302940000,0.10038286,0.0099362545,-0.085455716,0.9912224,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9302992000,0.099768944,0.0100144055,-0.0854127,0.99128735,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303044000,0.099034175,0.010316429,-0.08522742,0.99137384,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303096000,0.09827534,0.0105516035,-0.0850536,0.9914618,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303152000,0.097518034,0.010776471,-0.08494481,0.9915435,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303200000,0.09680856,0.011020671,-0.084924534,0.99161214,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303252000,0.09612639,0.011319106,-0.08474018,0.9916908,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303304000,0.09539495,0.011640836,-0.08457894,0.9917716,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303360000,0.09452791,0.011751957,-0.08440896,0.9918677,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303408000,0.093859404,0.011602365,-0.08438409,0.99193513,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303464000,0.093153864,0.011539396,-0.084354386,0.9920048,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303516000,0.09252936,0.011523674,-0.084325664,0.99206597,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303564000,0.09182261,0.011590652,-0.08450388,0.9921157,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303620000,0.09113077,0.011670997,-0.0845409,0.99217534,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303668000,0.09048598,0.011610907,-0.084556445,0.9922337,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303720000,0.08982444,0.011751836,-0.08466827,0.9922826,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303772000,0.08914182,0.011966981,-0.084772065,0.9923328,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303828000,0.08850006,0.011979346,-0.08471934,0.9923946,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303876000,0.087868154,0.011969459,-0.084662,0.9924557,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9303928000,0.08717845,0.012031952,-0.084702134,0.9925123,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
