timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
9393760000,3.237808,3.3175836,11.736359,1.0
9393768000,-2.6908994,-2.7571774,11.736359,1.0
9393776000,1.7452956,1.7882966,11.736359,1.0
9393780000,-2.0986104,-2.150299,11.736359,1.0
9393788000,3.5258296,3.6126769,11.736359,1.0
9393792000,2.7619624,2.830011,11.736328,1.0
9393796000,3.4240036,3.5083847,11.736328,1.0
9393800000,2.2852519,2.3415604,11.736328,1.0
9393808000,-2.3815277,-2.440192,11.736328,1.0
9393812000,2.361116,2.4192994,11.736328,1.0
9393820000,4.5565214,4.6687837,11.736328,1.0
9393828000,-2.1743393,-2.227917,11.736328,1.0
9393832000,-1.0797657,-1.1063663,11.736328,1.0
9393840000,2.401603,2.4607673,11.736328,1.0
9393844000,1.6756124,1.7168943,11.736328,1.0
9393848000,-1.6405499,-1.680981,11.736328,1.0
9393856000,3.5954328,3.6839924,11.736328,1.0
9393860000,-2.8849046,-2.9559944,11.736328,1.0
9393868000,-3.1475239,-3.225071,11.736328,1.0
9393872000,-2.257104,-2.3127062,11.736328,1.0
9393876000,1.1155115,1.1429908,11.736328,1.0
9393880000,1.8786532,1.9249315,11.736328,1.0
9393884000,2.9574673,3.0303369,11.736328,1.0
9393892000,-0.8433046,-0.8640833,11.736328,1.0
9393896000,1.5380496,1.5759412,11.736328,1.0
9393900000,-2.7904007,-2.8591454,11.736328,1.0
9393908000,0.48136476,0.49322224,11.736328,1.0
9393912000,2.8262773,2.8959267,11.736328,1.0
9393916000,-2.0160968,-2.0657542,11.736328,1.0
9393924000,2.5355563,2.5980186,11.736328,1.0
9393928000,-2.5625327,-2.6256607,11.736328,1.0
9393932000,-3.2984517,-3.3796954,11.736328,1.0
9393936000,0.85615265,0.87723994,11.736328,1.0
9393940000,3.8470178,3.9417953,11.736328,1.0
9393944000,-2.9503677,-3.0230076,11.736328,1.0
9393948000,-4.236777,-4.3411555,11.736328,1.0
9393952000,-3.5925314,-3.6810298,11.736328,1.0
9393956000,1.9947089,2.043859,11.736328,1.0
9393960000,1.7981985,1.8425088,11.736328,1.0
9393968000,3.2081182,3.2871609,11.736328,1.0
9393972000,-1.1002263,-1.1273298,11.736328,1.0
9393976000,-3.5878139,-3.6761978,11.736328,1.0
9393980000,3.0016563,3.0756109,11.736328,1.0
9393984000,-4.5225897,-4.634047,11.736298,1.0
9393992000,-2.8627024,-2.9332223,11.736298,1.0
9393996000,-2.6988926,-2.7653933,11.736298,1.0
9394000000,-2.0433908,-2.093735,11.736298,1.0
9394004000,3.5346618,3.6217594,11.736298,1.0
9394012000,-2.691764,-2.7580884,11.736298,1.0
9394016000,-2.2077856,-2.2621777,11.736298,1.0
9394020000,-3.4794452,-3.565172,11.736298,1.0
9394024000,2.1957514,2.249854,11.736298,1.0
9394028000,3.1214192,3.198317,11.736298,1.0
9394032000,0.92384505,0.94660425,11.736298,1.0
9394036000,2.0705223,2.1215262,11.736298,1.0
9394040000,-3.386231,-3.469674,11.736298,1.0
9394048000,-2.6109617,-2.6752722,11.736298,1.0
9394056000,2.6023476,2.66644,11.736298,1.0
9394060000,4.065226,4.165349,11.736298,1.0
9394068000,3.4885032,3.5744352,11.736298,1.0
9394072000,-3.7273605,-3.8191705,11.736298,1.0
9394080000,2.1866372,2.240521,11.736298,1.0
9394084000,2.177996,2.2316527,11.736298,1.0
9394088000,-3.8009653,-3.894582,11.736298,1.0
9394096000,-4.177257,-4.280196,11.736298,1.0
9394100000,2.7311034,2.7984078,11.736298,1.0
9394104000,-3.400244,-3.4840238,11.736298,1.0
9394112000,2.8488364,2.9190402,11.736298,1.0
9394116000,1.6114143,1.6511166,11.736298,1.0
9394120000,-3.9463947,-4.043627,11.736298,1.0
9394128000,3.2358794,3.3155913,11.736298,1.0
9394132000,-3.5794768,-3.6676822,11.736298,1.0
9394136000,1.836886,1.8821348,11.736298,1.0
9394140000,1.1590106,1.1875633,11.736298,1.0
9394144000,3.525906,3.6127691,11.736298,1.0
9394152000,-0.65502363,-0.6711662,11.736298,1.0
9394156000,2.7380426,2.8055,11.736298,1.0
9394160000,-2.6163714,-2.6808321,11.736298,1.0
9394164000,-2.9787853,-3.0521607,11.736298,1.0
9394168000,-1.4130597,-1.4478574,11.736298,1.0
9394176000,2.9424224,3.0149033,11.736298,1.0
9394180000,-3.9166586,-4.01315,11.736298,1.0
9394184000,-3.8179789,-3.9120374,11.736298,1.0
9394188000,-4.2379246,-4.3423295,11.736298,1.0
9394196000,-2.0218227,-2.0716197,11.736267,1.0
9394200000,-3.5837638,-3.672074,11.736267,1.0
9394208000,-2.5851386,-2.6487956,11.736267,1.0
9394212000,0.9691883,0.9930676,11.736267,1.0
9394220000,-3.3230298,-3.4048767,11.736267,1.0
9394224000,-1.7205341,-1.7629241,11.736267,1.0
9394232000,4.484909,4.5954094,11.736267,1.0
9394240000,2.5971837,2.6611807,11.736267,1.0
9394244000,-3.7924316,-3.8858273,11.736267,1.0
9394248000,1.1045625,1.1317765,11.736267,1.0
9394252000,-2.6771195,-2.7430856,11.736267,1.0
9394256000,2.2504752,2.3059266,11.736267,1.0
9394260000,-2.8233926,-2.8929508,11.736267,1.0
9394268000,-1.4731791,-1.5094619,11.736267,1.0
9394272000,-2.3130968,-2.3700707,11.736267,1.0
9394280000,-0.2063427,-0.21142651,11.736267,1.0
9394284000,2.3733895,2.4318514,11.736267,1.0
9394288000,-3.328967,-3.4109824,11.736267,1.0
9394296000,4.3229823,4.429501,11.736267,1.0
9394300000,3.2967172,3.3779576,11.736267,1.0
9394304000,4.1687136,4.271395,11.736267,1.0
9394308000,-3.396661,-3.480353,11.736267,1.0
9394312000,-4.0184135,-4.1173916,11.736267,1.0
9394316000,-1.0261472,-1.0514269,11.736267,1.0
9394324000,2.6348002,2.6997175,11.736267,1.0
9394328000,-1.9294542,-1.9769989,11.736267,1.0
9394332000,-2.4092765,-2.4686484,11.736267,1.0
9394336000,-1.3566405,-1.3900744,11.736267,1.0
9394340000,-2.1866653,-2.2405205,11.736267,1.0
9394344000,1.363294,1.3968756,11.736267,1.0
9394348000,1.6037133,1.6432163,11.736267,1.0
9394352000,4.891579,5.0120697,11.736267,1.0
9394360000,-3.02848,-3.103092,11.736267,1.0
9394364000,1.3942845,1.4286371,11.736267,1.0
9394368000,3.5114343,3.597953,11.736267,1.0
9394376000,1.3752517,1.4091265,11.736267,1.0
9394380000,3.8292542,3.9235945,11.736267,1.0
9394384000,4.6322784,4.7464147,11.736267,1.0
9394392000,2.2824094,2.3386261,11.736267,1.0
9394396000,2.185318,2.2391648,11.736267,1.0
9394400000,-2.4208755,-2.4805427,11.736267,1.0
9394404000,-2.5608222,-2.6239233,11.736267,1.0
9394408000,1.9641565,2.0125473,11.736267,1.0
9394412000,-1.6568336,-1.6976384,11.736267,1.0
9394416000,-2.7554832,-2.8233457,11.736267,1.0
9394424000,-3.1405535,-3.2179024,11.736267,1.0
9394432000,2.844068,2.9141319,11.736267,1.0
9394436000,0.27350923,0.2802472,11.736267,1.0
9394440000,-0.699078,-0.7162992,11.736267,1.0
9394444000,3.56057,3.648287,11.736267,1.0
9394448000,2.9229865,2.9950116,11.736267,1.0
9394452000,-3.813599,-3.9075701,11.736267,1.0
9394460000,0.9530262,0.97650677,11.736267,1.0
9394464000,1.1577408,1.1862794,11.736267,1.0
9394472000,-2.7003627,-2.7668886,11.736267,1.0
9394476000,3.4955804,3.5817056,11.736267,1.0
9394484000,2.9770656,3.050392,11.736267,1.0
9394492000,2.5930238,2.6568937,11.736267,1.0
9394500000,-0.8851278,-0.90693897,11.736267,1.0
9394508000,-4.0310144,-4.1303186,11.736267,1.0
9394512000,3.662204,3.7524345,11.736267,1.0
9394516000,-3.6698246,-3.760217,11.736267,1.0
9394524000,-1.099545,-1.1266357,11.736267,1.0
